what,kind,bundleId,bundleVersion,description,time
java.version,sysinfo,,,"1.6.0_29",1330034847257
java.vm.info,sysinfo,,,"mixed mode",1330034847257
java.vm.name,sysinfo,,,"Java HotSpot(TM) 64-Bit Server VM",1330034847257
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1330034847257
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1330034847257
java.vm.specification.version,sysinfo,,,"1.0",1330034847257
java.vm.vendor,sysinfo,,,"Apple Inc.",1330034847257
java.vm.version,sysinfo,,,"20.4-b02-402",1330034847257
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1330034854038
started,bundle,org.eclipse.debug.core,3.7.0.v20110518,"org.eclipse.debug.core",1330034859214
started,bundle,org.eclipse.jdt.launching,3.6.1.v20110803_r371,"org.eclipse.jdt.launching",1330034859229
started,bundle,org.eclipse.jdt.launching.macosx,3.2.100.v20110509,"org.eclipse.jdt.launching.macosx",1330034859234
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1330034876359
closed,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1330034885880
started,bundle,org.eclipse.compare.core,3.5.200.I20110208-0800,"org.eclipse.compare.core",1330034886365
started,bundle,org.eclipse.compare,3.5.201.R37x_v20110817-0800,"org.eclipse.compare",1330034886370
stopped,bundle,org.eclipse.jst.ws.axis.creation.ui,1.0.700.v201104070312,"org.eclipse.jst.ws.axis.creation.ui",1330034886562
stopped,bundle,org.eclipse.jst.ws.axis.consumption.ui,1.0.505.v201004211805,"org.eclipse.jst.ws.axis.consumption.ui",1330034886562
stopped,bundle,org.eclipse.jst.ws.axis.consumption.core,1.0.407.v201104071820,"org.eclipse.jst.ws.axis.consumption.core",1330034886563
stopped,bundle,org.eclipse.jst.ws.axis2.creation.ui,1.0.104.v201004211805,"org.eclipse.jst.ws.axis2.creation.ui",1330034886564
stopped,bundle,org.eclipse.jst.ws.axis2.consumption.ui,1.0.103.v201004211805,"org.eclipse.jst.ws.axis2.consumption.ui",1330034886565
